Mean_msat10,Lower_msat10,Upper_msat10,Mean_msat20,Lower_msat20,Upper_msat20,Mean_snp2,Lower_snp2,Upper_snp2
-0.113,-0.896,1,0.099,-0.773,1,0.092,-0.121,1
-0.008,-0.52,0.464,0.016,-0.461,0.508,0.035,-0.141,0.192
-0.012,-0.462,0.444,-0.016,-0.446,0.489,0.01,-0.155,0.18
0.056,-0.483,0.47,-0.031,-0.506,0.484,0.017,-0.167,0.172
0.042,-0.448,0.489,0.024,-0.511,0.51,-0.009,-0.166,0.177
-0.014,-0.39,0.401,-0.039,-0.532,0.414,0.008,-0.182,0.246
0,-0.438,0.518,-0.002,-0.478,0.471,0.005,-0.129,0.164
-0.011,-0.468,0.503,-0.036,-0.533,0.5,0.012,-0.132,0.175
-0.061,-0.523,0.493,0.017,-0.408,0.482,-0.002,-0.204,0.184
-0.044,-0.544,0.444,0,-0.449,0.465,-0.003,-0.223,0.216
-0.058,-0.53,0.485,0.012,-0.437,0.485,0.009,-0.222,0.303
0.007,-0.428,0.482,-0.068,-0.567,0.503,0.023,-0.283,0.316
0.134,-0.353,0.603,0.075,-0.393,0.764,0.039,-0.093,0.372
0.059,-0.444,0.625,0.096,-0.474,0.736,0.065,-0.089,0.278
0.022,-0.425,0.603,-0.02,-0.434,0.551,0.026,-0.18,0.294
0.08,-0.359,0.607,0.024,-0.437,0.502,0.003,-0.25,0.335
0.02,-0.404,0.561,0.043,-0.528,0.629,0.044,-0.256,0.462
0.019,-0.574,0.7,0.017,-0.513,0.675,0.028,-0.384,0.62
-0.019,-0.501,1,0.116,-0.379,1,0.057,-0.073,1
-0.01,-0.299,0.317,0.013,-0.322,0.359,0.017,-0.113,0.134
0.023,-0.301,0.342,0.023,-0.268,0.397,0.005,-0.112,0.127
-0.018,-0.341,0.31,0.006,-0.312,0.326,-0.008,-0.104,0.124
-0.022,-0.336,0.289,0.034,-0.355,0.334,0.019,-0.108,0.171
-0.002,-0.35,0.297,-0.018,-0.344,0.343,-0.005,-0.13,0.21
0.028,-0.302,0.325,0.06,-0.295,0.378,0.01,-0.118,0.156
-0.025,-0.319,0.302,-0.017,-0.291,0.314,0.027,-0.099,0.161
-0.002,-0.287,0.279,0.08,-0.232,0.33,-0.004,-0.124,0.154
0.037,-0.294,0.337,0.014,-0.332,0.339,0.012,-0.155,0.206
0.004,-0.356,0.348,-0.015,-0.42,0.382,0.014,-0.191,0.298
-0.013,-0.374,0.374,-0.009,-0.463,0.441,0.018,-0.182,0.476
0.063,-0.225,0.528,0.014,-0.301,0.413,0.031,-0.053,1
0.03,-0.373,0.365,0.025,-0.267,0.381,0.041,-0.074,1
0.051,-0.282,0.371,0.043,-0.253,0.397,0.046,-0.137,0.267
0.032,-0.366,0.445,0.017,-0.326,0.445,0.024,-0.202,0.327
-0.015,-0.368,0.548,0.05,-0.377,0.555,0.069,-0.13,1
0.056,-0.468,0.544,0.03,-0.527,0.649,0.037,-0.372,0.625
