Mean_msat10,Lower_msat10,Upper_msat10,Mean_msat20,Lower_msat20,Upper_msat20,Mean_snp2,Lower_snp2,Upper_snp2
0.018,-0.703,1,-0.063,-0.881,1,0.326,0.161,1
-0.038,-0.512,0.467,0.013,-0.505,0.51,0.007,-0.163,0.275
0.042,-0.514,0.503,-0.01,-0.593,0.606,0.006,-0.297,0.319
0.083,-0.457,0.503,0.02,-0.546,0.613,0.009,-0.38,0.412
0.032,-0.524,0.586,0.043,-0.613,0.621,0.031,-0.443,0.501
-0.022,-0.602,0.614,-0.002,-0.63,0.685,0.023,-0.55,0.577
0.039,-0.509,0.481,-0.042,-0.514,0.484,0.03,-0.127,0.369
0.005,-0.553,0.597,0.037,-0.599,0.604,-0.005,-0.205,0.393
-0.035,-0.551,0.505,-0.001,-0.592,0.615,0.011,-0.417,0.433
0.064,-0.573,0.642,0.037,-0.638,0.718,0.007,-0.498,0.494
0.015,-0.692,0.713,0.005,-0.704,0.715,0,-0.639,0.649
-0.015,-0.717,0.839,-0.005,-0.817,0.842,0.006,-0.684,0.687
0.012,-0.538,0.614,0.058,-0.389,0.589,0.127,-0.037,1
0.06,-0.403,0.61,0.066,-0.561,0.76,0.086,-0.15,1
0.047,-0.606,0.685,0.084,-0.692,0.741,0.057,-0.467,0.632
0.026,-0.673,0.803,0.04,-0.732,0.805,0.06,-0.584,0.742
0.121,-0.713,0.865,0.026,-0.846,0.89,0.044,-0.674,0.842
0.156,-0.875,0.934,0.063,-0.859,0.939,0.027,-0.737,0.922
0.008,-0.484,1,0.04,-0.691,1,0.377,0.169,1
0.019,-0.347,0.316,-0.025,-0.446,0.369,0,-0.13,0.245
0.034,-0.336,0.397,-0.012,-0.475,0.445,0.018,-0.259,0.343
0.015,-0.431,0.419,0.004,-0.448,0.475,0.013,-0.367,0.377
-0.023,-0.456,0.436,0.013,-0.576,0.565,0.027,-0.449,0.483
-0.001,-0.562,0.561,0.046,-0.612,0.661,0.015,-0.542,0.54
0.035,-0.345,0.372,-0.02,-0.401,0.392,0.027,-0.093,0.395
0.021,-0.316,0.341,0.008,-0.427,0.462,0.005,-0.159,0.386
0.01,-0.488,0.498,0.032,-0.513,0.54,0,-0.38,0.455
0.006,-0.53,0.531,-0.055,-0.573,0.632,0.016,-0.542,0.488
0.002,-0.698,0.65,-0.003,-0.702,0.76,0.028,-0.626,0.647
-0.017,-0.751,0.811,-0.016,-0.762,0.847,0.041,-0.69,0.714
0.044,-0.327,0.456,0.039,-0.34,0.538,0.241,0.03,1
0.026,-0.309,0.486,0.103,-0.416,0.596,0.088,-0.074,1
0.078,-0.558,0.599,0.029,-0.662,0.693,0.034,-0.475,0.635
0.067,-0.606,0.747,0.057,-0.623,0.822,0.036,-0.568,0.732
-0.004,-0.727,0.842,0.039,-0.775,0.894,0.03,-0.674,0.846
0.055,-0.839,0.903,0.143,-0.826,0.937,0.039,-0.734,0.918
